\fixlen = T
\RowsRetrieved = 1295
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|               in_row_id|                   in_ra|                  in_dec|  scan_id|  scangrp|               frame_num|                    band|              qual_frame|                moon_sep|                dtanneal|                 saa_sep|                   unixt|               date_obs|               fname               |
|                     int|                  double|                  double|     char|     char|                     int|                     int|                     int|                  double|                  double|                  double|                  double|                   char|               char                |
|                        |                        |                        |         |         |                        |                        |                        |                        |                        |                        |                        |                       |                                   |
|                    null|                    null|                    null|     null|     null|                    null|                    null|                    null|                    null|                    null|                    null|                    null|                   null|               null                |
                        1       180.40458000000001      -65.148330000000001    51134a        4a                       60                        1                        5       73.811999999999998                   999999                   41.073       1406649767.4760001 2014-07-29 16:02:47.476           51134a060-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51138a        8a                       60                        1                       10       73.218999999999994                   999999       27.664000000000001         1406661132.50999 2014-07-29 19:12:12.510           51138a060-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51142a        2a                       60                        1                       10       72.638999999999996                   999999       20.542000000000002         1406672497.55199 2014-07-29 22:21:37.552           51142a060-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51142a        2a                       61                        1                        5       72.370999999999995                   999999                   19.802       1406672508.5520101 2014-07-29 22:21:48.552           51142a061-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51153a        3a                       37                        1                        5       70.581000000000003                   999999       45.243000000000002         1406700926.64201 2014-07-30 06:15:26.642           51153a037-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51154a        4a                       60                        1                        5       70.686999999999998                   999999       50.801000000000002         1406706603.66098 2014-07-30 07:50:03.661           51154a060-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51157a        7a                       36                        1                        5       70.043999999999997                   999999       55.244999999999997       1406712291.6800201 2014-07-30 09:24:51.680           51157a036-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51161a        1a                       36                        1                       10       69.521000000000001                   999999       54.451000000000001         1406723656.70999 2014-07-30 12:34:16.710           51161a036-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51162a        2a                       61                        1                       10       69.308999999999997                   999999       49.357999999999997       1406729344.7289801 2014-07-30 14:09:04.729           51162a061-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51165a        5a                       36                        1                        5       69.016000000000005                   999999       42.713000000000001         1406735021.74699 2014-07-30 15:43:41.747           51165a036-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51166a        6a                       60                        1                        5       68.802000000000007                   999999       35.453000000000003         1406740709.76599 2014-07-30 17:18:29.766           51166a060-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51169a        9a                       37                        1                       10       68.162999999999997                   999999                   28.657         1406746397.78901 2014-07-30 18:53:17.789           51169a037-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51170a        0a                       60                        1                        5       68.313000000000002                   999999                   24.436       1406752074.8040099 2014-07-30 20:27:54.804           51170a060-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51173a        3a                       36                        1                       10       67.680999999999997                   999999       20.568000000000001       1406757762.8269899 2014-07-30 22:02:42.827           51173a036-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51174a        4a                       60                        1                       10       67.846999999999994                   999999       21.082999999999998           1406763439.846 2014-07-30 23:37:19.846           51174a060-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51174a        4a                       61                        1                        5       67.459999999999994                   999999                   20.573       1406763450.8459799 2014-07-30 23:37:30.846           51174a061-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51177a        7a                       36                        1                       10       67.218000000000004                   999999       23.934999999999999           1406769127.865 2014-07-31 01:12:07.865           51177a036-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51181a        1a                       36                        1                       10       66.778000000000006                   999999       36.238999999999997       1406780492.9030099 2014-07-31 04:21:32.903           51181a036-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51185a        5a                       36                        1                       10       66.355000000000004                   999999       49.136000000000003       1406791857.9450099 2014-07-31 07:30:57.945           51185a036-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51185a        5a                       37                        1                        5       65.927000000000007                   999999       49.835000000000001       1406791868.9449899 2014-07-31 07:31:08.945           51185a037-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51306a        6a                       67                        1                        5       59.551000000000002                   999999       49.232999999999997           1407138563.668 2014-08-04 07:49:23.668           51306a067-w1-int-1b.fits 
                        1       180.40458000000001      -65.148330000000001    51306a        6a                       68                        1                        5       58.853000000000002                   999999       49.948999999999998         1407138574.66802 2014-08-04 07:49:34.668           51306a068-w1-int-1b.fits 
