\fixlen = T
\RowsRetrieved = 2298
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|               in_row_id|                   in_ra|                  in_dec|  scan_id|  scangrp|               frame_num|                    band|              qual_frame|                moon_sep|                dtanneal|                 saa_sep|                   unixt|               date_obs|               fname               |
|                     int|                  double|                  double|     char|     char|                     int|                     int|                     int|                  double|                  double|                  double|                  double|                   char|               char                |
|                        |                        |                        |         |         |                        |                        |                        |                        |                        |                        |                        |                       |                                   |
|                    null|                    null|                    null|     null|     null|                    null|                    null|                    null|                    null|                    null|                    null|                    null|                   null|               null                |
                        1                319.41125       68.292469999999994    89290b        0b                      256                        2                       10         83.8871105955877                   999999       91.771078000000003           1514726738.777 2017-12-31 13:25:38.777           89290b256-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89294a        4a                      255                        2                       10       84.213250829975095                   999999       87.250021000000004       1514738048.8509901 2017-12-31 16:34:08.851           89294a255-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89297a        7a                      231                        2                       10       84.490324515649306                   999999       87.013795000000002         1514743703.88799 2017-12-31 18:08:23.888           89297a231-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89301a        1a                      231                        2                       10       84.835200939614893                   999999       88.915940000000006         1514755013.95399 2017-12-31 21:16:53.954           89301a231-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89302a        2a                      255                        2                       10         84.8877898945493                   999999       91.341954999999999       1514760668.9909799 2017-12-31 22:51:08.991           89302a255-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89306a        6a                      255                        2                       10       85.258250374478195                   999999       98.432856999999998         1514771979.06498 2018-01-01 01:59:39.065           89306a255-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89309a        9a                      170                        2                       10       85.558022187583703                   999999               101.914098       1514777634.1010201 2018-01-01 03:33:54.101           89309a170-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89313a        3a                      231                        2                       10       85.929369670821998                   999999               104.764442       1514788944.1629901 2018-01-01 06:42:24.163           89313a231-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89314a        4a                      255                        2                       10       85.988706392948799                   999999               102.949901       1514794599.1960001 2018-01-01 08:16:39.196           89314a255-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89318a        8a                      255                        2                       10         86.3701423316339                   999999       96.552389000000005            1514805909.27 2018-01-01 11:25:09.270           89318a255-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89325a        5a                      231                        2                        5       87.085271475385994                   999999       87.597341999999998         1514822874.37199 2018-01-01 16:07:54.372           89325a231-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89326a        6a                      255                        2                       10       87.147288818976307                   999999       86.798783999999998       1514828529.4089899 2018-01-01 17:42:09.409           89326a255-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89330a        0a                      255                        2                        5       87.552580002158294                   999999       88.504562000000007       1514839839.4790001 2018-01-01 20:50:39.479           89330a255-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89330a        0a                      256                        2                       10       87.798072672027203                   999999       89.149741000000006       1514839850.4789801 2018-01-01 20:50:50.479           89330a256-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89333a        3a                      230                        2                       10       87.888695920966597                   999999       90.595444000000001       1514845494.5120201 2018-01-01 22:24:54.512           89333a230-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89333a        3a                      232                        2                       10       88.119050064888299                   999999       91.102222999999995         1514845505.51598 2018-01-01 22:25:05.516           89333a232-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89337a        7a                      230                        2                       10       88.304538933094307                   999999       97.221342000000007         1514856804.58602 2018-01-02 01:33:24.586           89337a230-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89337a        7a                      231                        2                       10       88.513802790224204                   999999       97.842637999999994       1514856815.5900199 2018-01-02 01:33:35.590           89337a231-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89339a        9a                      170                        2                       10       88.576813641374301                   999999       101.28677399999999         1514862470.61901 2018-01-02 03:07:50.619           89339a170-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89342a        2a                      255                        2                        5       88.976007808214703                   999999                104.61333       1514873780.6849999 2018-01-02 06:16:20.685           89342a255-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89345a        5a                      231                        2                       10       89.310857492479798                   999999       103.06803499999999           1514879435.721 2018-01-02 07:50:35.721           89345a231-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89349a        9a                      231                        2                       10       89.719901319716897                   999999       97.098792000000003       1514890745.7869899 2018-01-02 10:59:05.787           89349a231-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89357a        7a                      231                        2                        5       90.541330031953294                   999999       87.125964999999994       1514913365.9300001 2018-01-02 17:16:05.930           89357a231-w2-int-1b.fits 
                        1                319.41125       68.292469999999994    89361a        1a                      231                        2                       10       90.962586755782993                   999999       88.601063999999994         1514924676.00001 2018-01-02 20:24:36.000           89361a231-w2-int-1b.fits 
