\fixlen = T
\RowsRetrieved = 1216
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|               in_row_id|                   in_ra|                  in_dec|  scan_id|  scangrp|               frame_num|                    band|              qual_frame|                moon_sep|                dtanneal|                 saa_sep|                   unixt|               date_obs|               fname               |
|                     int|                  double|                  double|     char|     char|                     int|                     int|                     int|                  double|                  double|                  double|                  double|                   char|               char                |
|                        |                        |                        |         |         |                        |                        |                        |                        |                        |                        |                        |                       |                                   |
|                    null|                    null|                    null|     null|     null|                    null|                    null|                    null|                    null|                    null|                    null|                    null|                   null|               null                |
                        1                122.38575      -36.088889999999999    54305b        5b                      239                        1                       10       59.847999999999999                   999999       60.892000000000003       1415660946.6849999 2014-11-10 23:09:06.685           54305b239-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54313b        3b                      239                        1                       10       58.429000000000002                   999999       1.0680000000000001           1415683665.823 2014-11-11 05:27:45.823           54313b239-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54322a        2a                      176                        1                       10       57.094000000000001                   999999       11.367000000000001            1415706384.96 2014-11-11 11:46:24.960           54322a176-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54324a        4a                      142                        1                       10       56.469999999999999                   999999                   28.831       1415712061.9920101 2014-11-11 13:21:01.992           54324a142-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54325b        5b                      238                        1                       10       56.195999999999998                   999999       47.023000000000003           1415717739.027 2014-11-11 14:55:39.027           54325b238-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54325b        5b                      239                        1                       10       56.729999999999997                   999999       47.106000000000002       1415717750.0310099 2014-11-11 14:55:50.031           54325b239-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54328a        8a                      214                        1                       10       56.124000000000002                   999999       63.365000000000002         1415723427.06302 2014-11-11 16:30:27.063           54328a214-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54329b        9b                      238                        1                       10       55.853000000000002                   999999       76.543999999999997       1415729104.0980101 2014-11-11 18:05:04.098           54329b238-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54332a        2a                      213                        1                       10       55.255000000000003                   999999       85.087999999999994       1415734781.1340001 2014-11-11 19:39:41.134           54332a213-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54332a        2a                      214                        1                       10       55.813000000000002                   999999       84.450999999999993         1415734792.13398 2014-11-11 19:39:52.134           54332a214-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54333b        3b                      239                        1                        5       55.545000000000002                   999999       81.087999999999994       1415740469.1690099 2014-11-11 21:14:29.169           54333b239-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54336a        6a                      213                        1                       10       54.968000000000004                   999999       64.391000000000005       1415746146.2050099 2014-11-11 22:49:06.205           54336a213-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54337b        7b                      238                        1                       10       54.697000000000003                   999999       46.704000000000001       1415751823.2360101 2014-11-12 00:23:43.236           54337b238-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54340a        0a                      214                        1                       10       54.716000000000001                   999999       28.972000000000001           1415757511.267 2014-11-12 01:58:31.267           54340a214-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54342a        2a                      143                        1                       10       54.447000000000003                   999999                   14.709           1415763188.303 2014-11-12 03:33:08.303           54342a143-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54344a        4a                      142                        1                       10       53.902000000000001                   999999       3.7320000000000002         1415768865.33798 2014-11-12 05:07:45.338           54344a142-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54352a        2a                      213                        1                       10       52.950000000000003                   999999       8.1020000000000003         1415791584.48001 2014-11-12 11:26:24.480           54352a213-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54420a        0a                      210                        1                       10       50.795999999999999                   999999       67.807000000000002         1415984714.10601 2014-11-14 17:05:14.106           54420a210-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54421b        1b                      235                        1                       10       50.654000000000003                   999999       79.286000000000001         1415990391.14398 2014-11-14 18:39:51.144           54421b235-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54424a        4a                      211                        1                       10       51.280000000000001                   999999       85.668000000000006       1415996079.1820099 2014-11-14 20:14:39.182           54424a211-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54425b        5b                      235                        1                       10       51.151000000000003                   999999       74.647000000000006         1416001756.22001 2014-11-14 21:49:16.220           54425b235-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54428a        8a                      210                        1                       10       51.103999999999999                   999999                   57.747       1416007433.2579801 2014-11-14 23:23:53.258           54428a210-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54429b        9b                      235                        1                       10       50.978000000000002                   999999       40.039000000000001       1416013110.2909999 2014-11-15 00:58:30.291           54429b235-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54429b        9b                      236                        1                       10       51.670000000000002                   999999       39.982999999999997         1416013121.29601 2014-11-15 00:58:41.296           54429b236-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54432a        2a                      185                        1                       10       51.648000000000003                   999999                   23.369         1416018798.32899 2014-11-15 02:33:18.329           54432a185-w1-int-1b.fits 
                        1                122.38575      -36.088889999999999    54436a        6a                      210                        1                       10       51.537999999999997                   999999       1.1950000000000001       1416030152.4010201 2014-11-15 05:42:32.401           54436a210-w1-int-1b.fits 
