\fixlen = T
\RowsRetrieved = 1670
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|               in_row_id|                   in_ra|                  in_dec|  scan_id|  scangrp|               frame_num|                    band|              qual_frame|                moon_sep|                dtanneal|                 saa_sep|                   unixt|               date_obs|               fname               |
|                     int|                  double|                  double|     char|     char|                     int|                     int|                     int|                  double|                  double|                  double|                  double|                   char|               char                |
|                        |                        |                        |         |         |                        |                        |                        |                        |                        |                        |                        |                       |                                   |
|                    null|                    null|                    null|     null|     null|                    null|                    null|                    null|                    null|                    null|                    null|                    null|                   null|               null                |
                        1                 166.6935      -77.375609999999995    90730a        0a                      244                        2                       10       92.894892311606895                   999999       45.750802999999998         1518795667.63099 2018-02-16 15:41:07.631           90730a244-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90734a        4a                      244                        2                       10       93.351798572517694                   999999       43.236296000000003         1518806977.77299 2018-02-16 18:49:37.773           90734a244-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90738a        8a                      244                        2                       10       93.809050587596801                   999999       37.460465999999997           1518818287.918 2018-02-16 21:58:07.918           90738a244-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90740a        0a                      219                        2                       10       94.226396570059507                   999999                34.284053       1518823942.9850099 2018-02-16 23:32:22.985           90740a219-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90742a        2a                      244                        2                       10       94.263855888766201                   999999       31.681173000000001         1518829598.05601 2018-02-17 01:06:38.056           90742a244-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90748a        8a                      219                        2                       10       95.135409724470406                   999999       32.100834999999996       1518846563.2639999 2018-02-17 05:49:23.264           90748a219-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90750a        0a                      244                        2                       10       95.171225718339997                   999999       34.819876999999998       1518852218.3340001 2018-02-17 07:23:38.334           90750a244-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90752a        2a                      219                        2                       10       95.588102026633507                   999999       37.627602000000003         1518857873.40499 2018-02-17 08:57:53.405           90752a219-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90754a        4a                      244                        2                       10       95.621072392959803                   999999       40.857835999999999       1518863528.4759901 2018-02-17 10:32:08.476           90754a244-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90756a        6a                      219                        2                       10       96.039682532929803                   999999       43.534042999999997       1518869183.5469799 2018-02-17 12:06:23.547           90756a219-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90758a        8a                      186                        2                       10       96.123500269947399                   999999       43.507207000000001         1518874794.60498 2018-02-17 13:39:54.605           90758a186-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90760a        0a                      219                        2                       10       96.487010124751194                   999999                45.770159         1518880493.68399 2018-02-17 15:14:53.684           90760a219-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90762a        2a                      244                        2                       10       96.517311986750599                   999999       45.300901000000003       1518886148.7549801 2018-02-17 16:49:08.755           90762a244-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90764a        4a                      219                        2                       10       96.931587245183195                   999999       43.721075999999996       1518891803.8259799 2018-02-17 18:23:23.826           90764a219-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90766a        6a                      244                        2                       10       96.961738031404195                   999999                41.216279       1518897458.8999901 2018-02-17 19:57:38.900           90766a244-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90768a        8a                      219                        2                       10       97.375480089905395                   999999       38.341517000000003       1518903113.9709899 2018-02-17 21:31:53.971           90768a219-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90770a        0a                      244                        2                       10       97.401880918152401                   999999       35.114505000000001         1518908769.04199 2018-02-17 23:06:09.042           90770a244-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90772a        2a                      219                        2                       10       97.813421265582505                   999999       32.288563000000003       1518914424.1129799 2018-02-18 00:40:24.113           90772a219-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90778a        8a                      244                        2                       10       98.272915920133002                   999999                31.518881       1518931389.3209801 2018-02-18 05:23:09.321           90778a244-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90780a        0a                      219                        2                       10       98.681217555864293                   999999       34.020099000000002       1518937044.3869901 2018-02-18 06:57:24.387           90780a219-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90782a        2a                      244                        2                       10       98.706150235067398                   999999       36.988760999999997       1518942699.4579899 2018-02-18 08:31:39.458           90782a244-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90784a        4a                      219                        2                       10       99.110836924368996                   999999       40.233986000000002         1518948354.52898 2018-02-18 10:05:54.529           90784a219-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90788a        8a                      219                        2                       10       99.532845364718895                   999999       44.887487999999998       1518959664.6700101 2018-02-18 13:14:24.670           90788a219-w2-int-1b.fits 
                        1                 166.6935      -77.375609999999995    90792a        2a                      219                        2                       10       99.953405942923396                   999999       45.568452999999998       1518970974.8080201 2018-02-18 16:22:54.808           90792a219-w2-int-1b.fits 
