\fixlen = T
\RowsRetrieved = 1392
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|               in_row_id|                   in_ra|                  in_dec|  scan_id|  scangrp|               frame_num|                    band|              qual_frame|                moon_sep|                dtanneal|                 saa_sep|                   unixt|               date_obs|               fname               |
|                     int|                  double|                  double|     char|     char|                     int|                     int|                     int|                  double|                  double|                  double|                  double|                   char|               char                |
|                        |                        |                        |         |         |                        |                        |                        |                        |                        |                        |                        |                       |                                   |
|                    null|                    null|                    null|     null|     null|                    null|                    null|                    null|                    null|                    null|                    null|                    null|                   null|               null                |
                        1       196.90416999999999      -77.002499999999998    95883a        3a                       44                        2                        5         111.860051252956                   999999       33.211137000000001         1533361404.68401 2018-08-04 05:43:24.684           95883a044-w2-int-1b.fits 
                        1       196.90416999999999      -77.002499999999998    95887a        7a                       43                        2                        5         111.783181930754                   999999       40.493465999999998       1533372703.7179999 2018-08-04 08:51:43.718           95887a043-w2-int-1b.fits 
                        1       196.90416999999999      -77.002499999999998    95887a        7a                       44                        2                        5         112.391468726536                   999999       41.157752000000002       1533372714.7179799 2018-08-04 08:51:54.718           95887a044-w2-int-1b.fits 
                        1       196.90416999999999      -77.002499999999998    95895a        5a                       39                        2                       10         112.495566835088                   999999       48.611536999999998           1533395367.803 2018-08-04 15:09:27.803           95895a039-w2-int-1b.fits 
                        1       196.90416999999999      -77.002499999999998    95895a        5a                       40                        2                        5          113.12188851447                   999999                48.960293       1533395378.8069999 2018-08-04 15:09:38.807           95895a040-w2-int-1b.fits 
                        1       196.90416999999999      -77.002499999999998    95897a        7a                       16                        2                        5       112.95000165340301                   999999       45.843971000000003         1533401022.82599 2018-08-04 16:43:42.826           95897a016-w2-int-1b.fits 
                        1       196.90416999999999      -77.002499999999998    95899a        9a                       41                        2                       10         113.144283512359                   999999       41.209004999999998         1533406677.84501 2018-08-04 18:17:57.845           95899a041-w2-int-1b.fits 
                        1       196.90416999999999      -77.002499999999998    95901a        1a                       18                        2                       10       113.52769201901199                   999999                36.345554       1533412332.8639801 2018-08-04 19:52:12.864           95901a018-w2-int-1b.fits 
                        1       196.90416999999999      -77.002499999999998    95903a        3a                       42                        2                        5         113.734407529127                   999999                32.140794         1533417987.88799 2018-08-04 21:26:27.888           95903a042-w2-int-1b.fits 
