\fixlen = T
\RowsRetrieved = 1735
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|               in_row_id|                   in_ra|                  in_dec|  scan_id|  scangrp|               frame_num|                    band|              qual_frame|                moon_sep|                dtanneal|                 saa_sep|                   unixt|               date_obs|               fname               |
|                     int|                  double|                  double|     char|     char|                     int|                     int|                     int|                  double|                  double|                  double|                  double|                   char|               char                |
|                        |                        |                        |         |         |                        |                        |                        |                        |                        |                        |                        |                       |                                   |
|                    null|                    null|                    null|     null|     null|                    null|                    null|                    null|                    null|                    null|                    null|                    null|                   null|               null                |
                        1                126.43167      -51.009999999999998    11826r        6r                      243                        1                       10         104.501678432364                   999999       25.949248000000001       1575031729.7120099 2019-11-29 12:48:49.712           11826r243-w1-int-1b.fits 
                        1                126.43167      -51.009999999999998    11834r        4r                      243                        1                        5         105.135990349466                   999999       53.782898000000003       1575054338.8199999 2019-11-29 19:05:38.820           11834r243-w1-int-1b.fits 
                        1                126.43167      -51.009999999999998    11838r        8r                      243                        1                       10       105.65009081331699                   999999       57.220854000000003           1575065637.878 2019-11-29 22:13:57.878           11838r243-w1-int-1b.fits 
                        1                126.43167      -51.009999999999998    11840r        0r                      219                        1                       10         105.867679601407                   999999                53.831235       1575071292.9030099 2019-11-29 23:48:12.903           11840r219-w1-int-1b.fits 
                        1                126.43167      -51.009999999999998    11842r        2r                      243                        1                       10         106.164279434767                   999999       47.464131999999999           1575076936.928 2019-11-30 01:22:16.928           11842r243-w1-int-1b.fits 
                        1                126.43167      -51.009999999999998    11842r        2r                      244                        1                       10         105.711642999601                   999999       47.182710999999998       1575076947.9319999 2019-11-30 01:22:27.932           11842r244-w1-int-1b.fits 
                        1                126.43167      -51.009999999999998    11844r        4r                      218                        1                       10         106.375797146846                   999999       39.761327999999999         1575082591.95699 2019-11-30 02:56:31.957           11844r218-w1-int-1b.fits 
                        1                126.43167      -51.009999999999998    11848r        8r                      219                        1                        5         106.404298493908                   999999                26.084781         1575093902.00701 2019-11-30 06:05:02.007           11848r219-w1-int-1b.fits 
                        1                126.43167      -51.009999999999998    11850r        0r                      243                        1                        5       106.70797552316699                   999999       21.807974000000002       1575099546.0320001 2019-11-30 07:39:06.032           11850r243-w1-int-1b.fits 
                        1                126.43167      -51.009999999999998    11854r        4r                      243                        1                       10       106.71083626217801                   999999       20.880960000000002         1575110856.13199 2019-11-30 10:47:36.132           11854r243-w1-int-1b.fits 
                        1                126.43167      -51.009999999999998    11856r        6r                      224                        1                        5         107.438262528911                   999999                 21.73638       1575116456.1519899 2019-11-30 12:20:56.152           11856r224-w1-int-1b.fits 
