\fixlen = T
\RowsRetrieved = 1425
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|               in_row_id|                   in_ra|                  in_dec|  scan_id|  scangrp|               frame_num|                    band|              qual_frame|                moon_sep|                dtanneal|                 saa_sep|                   unixt|               date_obs|               fname               |
|                     int|                  double|                  double|     char|     char|                     int|                     int|                     int|                  double|                  double|                  double|                  double|                   char|               char                |
|                        |                        |                        |         |         |                        |                        |                        |                        |                        |                        |                        |                       |                                   |
|                    null|                    null|                    null|     null|     null|                    null|                    null|                    null|                    null|                    null|                    null|                    null|                   null|               null                |
                        1       33.432000000000002       76.251419999999996    74425b        5b                       53                        2                       10       88.677999999999997                   999999       100.00700000000001               1472674636 2016-08-31 20:17:15.997           74425b053-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74429b        9b                       53                        2                       10                   89.375                   999999                  107.146       1472685957.0599999 2016-08-31 23:25:57.058           74429b053-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74436a        6a                        7                        2                        5       90.647999999999996                   999999       99.623999999999995       1472702944.1500001 2016-09-01 04:09:04.152           74436a007-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74437b        7b                       53                        2                       10       90.772000000000006                   999999       95.055999999999997       1472708599.1800001 2016-09-01 05:43:19.181           74437b053-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74440a        0a                       28                        2                       10       91.361999999999995                   999999       90.805000000000007            1472714254.21 2016-09-01 07:17:34.205           74440a028-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74440a        0a                       29                        2                       10       91.361000000000004                   999999       90.325000000000003             1472714265.2 2016-09-01 07:17:45.205           74440a029-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74441b        1b                       53                        2                       10       91.471999999999994                   999999       86.968000000000004            1472719920.24 2016-09-01 08:52:00.238           74441b053-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74444a        4a                       28                        2                       10       92.052000000000007                   999999       85.084000000000003            1472725575.27 2016-09-01 10:26:15.267           74444a028-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74445b        5b                       53                        2                        5       92.168999999999997                   999999       84.575999999999993       1472731241.3499999 2016-09-01 12:00:41.345           74445b053-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74448a        8a                       28                        2                       10                   92.747                   999999       85.632000000000005            1472736896.71 2016-09-01 13:34:56.710           74448a028-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74449b        9b                       52                        2                       10       92.837000000000003                   999999       87.109999999999999            1472742551.74 2016-09-01 15:09:11.742           74449b052-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74449b        9b                       53                        2                       10       92.873000000000005                   999999       86.850999999999999            1472742562.74 2016-09-01 15:09:22.742           74449b053-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74452a        2a                       28                        2                       10       93.438999999999993                   999999       89.975999999999999            1472748217.78 2016-09-01 16:43:37.777           74452a028-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74453b        3b                       52                        2                       10       93.521000000000001                   999999       93.986999999999995       1472753872.8099999 2016-09-01 18:17:52.813           74453b052-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74453b        3b                       53                        2                       10       93.572000000000003                   999999       94.332999999999998       1472753883.8099999 2016-09-01 18:18:03.813           74453b053-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74456a        6a                       28                        2                       10       94.129999999999995                   999999       98.897999999999996       1472759538.8499999 2016-09-01 19:52:18.849           74456a028-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74457b        7b                       52                        2                       10       94.201999999999998                   999999                  102.795       1472765193.8800001 2016-09-01 21:26:33.881           74457b052-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74457b        7b                       53                        2                       10       94.269999999999996                   999999                  103.533       1472765204.8800001 2016-09-01 21:26:44.885           74457b053-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74460a        0a                       28                        2                        5       94.819000000000003                   999999                  106.648       1472770859.9200001 2016-09-01 23:00:59.921           74460a028-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74461b        1b                       52                        2                       10       94.882000000000005                   999999                  106.883            1472776514.95 2016-09-02 00:35:14.952           74461b052-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74461b        1b                       53                        2                       10       94.966999999999999                   999999                  107.149            1472776525.96 2016-09-02 00:35:25.957           74461b053-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74464a        4a                       28                        2                       10                   95.506                   999999       104.69499999999999            1472782180.99 2016-09-02 02:09:40.988           74464a028-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74465b        5b                       52                        2                       10       95.561000000000007                   999999                  101.003            1472787836.02 2016-09-02 03:43:56.020           74465b052-w2-int-1b.fits 
                        1       33.432000000000002       76.251419999999996    74468a        8a                       28                        2                       10       96.191000000000003                   999999       96.212999999999994       1472793502.0599999 2016-09-02 05:18:22.056           74468a028-w2-int-1b.fits 
