\fixlen = T
\RowsRetrieved = 1269
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|               in_row_id|                   in_ra|                  in_dec|  scan_id|  scangrp|               frame_num|                    band|              qual_frame|                moon_sep|                dtanneal|                 saa_sep|                   unixt|               date_obs|               fname               |
|                     int|                  double|                  double|     char|     char|                     int|                     int|                     int|                  double|                  double|                  double|                  double|                   char|               char                |
|                        |                        |                        |         |         |                        |                        |                        |                        |                        |                        |                        |                       |                                   |
|                    null|                    null|                    null|     null|     null|                    null|                    null|                    null|                    null|                    null|                    null|                    null|                   null|               null                |
                        1                146.69358      -51.102499999999999    71718a        8a                       51                        1                        5                  101.014                   999999       37.249000000000002            1465013269.05 2016-06-04 04:07:49.054           71718a051-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71722a        2a                       51                        1                       10                  100.107                   999999       59.851999999999997       1465024590.0999999 2016-06-04 07:16:30.097           71722a051-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71730a        0a                       51                        1                        5       98.281999999999996                   999999       53.935000000000002       1465047232.1900001 2016-06-04 13:33:52.191           71730a051-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71733a        3a                       26                        1                        5       97.484999999999999                   999999       41.889000000000003            1465052887.21 2016-06-04 15:08:07.212           71733a026-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71734a        4a                       51                        1                        5                   97.366                   999999       30.885999999999999            1465058553.23 2016-06-04 16:42:33.234           71734a051-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71737a        7a                       26                        1                       10       96.575000000000003                   999999       21.213000000000001            1465064208.26 2016-06-04 18:16:48.259           71737a026-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71737a        7a                       27                        1                       10       96.804000000000002                   999999       20.495000000000001            1465064219.26 2016-06-04 18:16:59.259           71737a027-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71738a        8a                       51                        1                        5       96.450000000000003                   999999       13.409000000000001            1465069874.28 2016-06-04 19:51:14.285           71738a051-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71741a        1a                       26                        1                        5       95.665000000000006                   999999       8.4410000000000007       1465075529.3099999 2016-06-04 21:25:29.310           71741a026-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71741a        1a                       27                        1                       10                   95.875                   999999                    7.673       1465075540.3099999 2016-06-04 21:25:40.310           71741a027-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71742a        2a                       51                        1                        5       95.531999999999996                   999999       5.6689999999999996       1465081195.3399999 2016-06-04 22:59:55.336           71742a051-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71745a        5a                       26                        1                       10       94.754999999999995                   999999                   10.414       1465086850.3599999 2016-06-05 00:34:10.357           71745a026-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71745a        5a                       27                        1                       10       94.947999999999993                   999999                   10.209       1465086861.3599999 2016-06-05 00:34:21.357           71745a027-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71746a        6a                       50                        1                        5                   94.613                   999999       21.428000000000001       1465092516.3800001 2016-06-05 02:08:36.383           71746a050-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71750a        0a                       50                        1                        5       93.697999999999993                   999999       46.207000000000001       1465103837.4300001 2016-06-05 05:17:17.434           71750a050-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71753a        3a                       27                        1                        5       93.094999999999999                   999999       57.204000000000001            1465109503.45 2016-06-05 06:51:43.455           71753a027-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71754a        4a                       50                        1                       10       92.784000000000006                   999999       65.079999999999998            1465115158.48 2016-06-05 08:25:58.477           71754a050-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71757a        7a                       27                        1                        5       92.173000000000002                   999999       70.471999999999994             1465120824.5 2016-06-05 10:00:24.502           71757a027-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71758a        8a                       50                        1                       10       91.873000000000005                   999999       69.852000000000004            1465126479.53 2016-06-05 11:34:39.528           71758a050-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71765a        5a                       27                        1                        5       90.335999999999999                   999999                   33.808       1465143466.5999999 2016-06-05 16:17:46.596           71765a027-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71769a        9a                       27                        1                        5       89.426000000000002                   999999                   15.698       1465154787.6400001 2016-06-05 19:26:27.643           71769a027-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71773a        3a                       27                        1                        5       88.519999999999996                   999999       5.6289999999999996             1465166108.7 2016-06-05 22:35:08.698           71773a027-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71998a        8a                       56                        1                        5                   61.012                   999999       60.304000000000002             1465805753.5 2016-06-13 08:15:53.503           71998a056-w1-int-1b.fits 
                        1                146.69358      -51.102499999999999    71998a        8a                       57                        1                       10                   60.314                   999999       61.029000000000003            1465805764.51 2016-06-13 08:16:04.507           71998a057-w1-int-1b.fits 
