\fixlen = T
\RowsRetrieved = 1857
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|               in_row_id|                   in_ra|                  in_dec|  scan_id|  scangrp|               frame_num|                    band|              qual_frame|                moon_sep|                dtanneal|                 saa_sep|                   unixt|               date_obs|               fname               |
|                     int|                  double|                  double|     char|     char|                     int|                     int|                     int|                  double|                  double|                  double|                  double|                   char|               char                |
|                        |                        |                        |         |         |                        |                        |                        |                        |                        |                        |                        |                       |                                   |
|                    null|                    null|                    null|     null|     null|                    null|                    null|                    null|                    null|                    null|                    null|                    null|                   null|               null                |
                        1       339.72054000000003       75.189589999999995    89867a        7a                      245                        1                       10       90.435845742944593                   999999       96.297495999999995       1516355476.9479899 2018-01-19 09:51:16.948           89867a245-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89871a        1a                      163                        1                       10       90.009920125025005                   999999       92.207654000000005       1516366743.0149801 2018-01-19 12:59:03.015           89871a163-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89873a        3a                      221                        1                       10       89.646714624111297                   999999       88.934601000000001           1516372442.062 2018-01-19 14:34:02.062           89873a221-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89875a        5a                      245                        1                        5       89.607358687023506                   999999       88.421276000000006       1516378097.0950201 2018-01-19 16:08:17.095           89875a245-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89877a        7a                      221                        1                       10         89.2280527607262                   999999       89.082918000000006       1516383752.1370101 2018-01-19 17:42:32.137           89877a221-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89879a        9a                      245                        1                       10       89.193175127343906                   999999                90.059016         1516389407.17501 2018-01-19 19:16:47.175           89879a245-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89881a        1a                      221                        1                        5       88.810082606260295                   999999       91.871661000000003           1516395062.217 2018-01-19 20:51:02.217           89881a221-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89883a        3a                      245                        1                       10       88.773712036357196                   999999       94.302903999999998       1516400717.3040099 2018-01-19 22:25:17.304           89883a245-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89885a        5a                      221                        1                       10       88.393175987432699                   999999       97.407042000000004           1516406372.346 2018-01-19 23:59:32.346           89885a221-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89887a        7a                      245                        1                        5       88.354181475022997                   999999               100.442657       1516412027.3840001 2018-01-20 01:33:47.384           89887a245-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89891a        1a                      179                        1                       10       87.901948412993093                   999999               103.980605           1516423293.451 2018-01-20 04:41:33.451           89891a179-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89893a        3a                      221                        1                        5         87.5496613535108                   999999               102.284333         1516428992.49701 2018-01-20 06:16:32.497           89893a221-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89895a        5a                      245                        1                       10       87.512086001170204                   999999               100.000077       1516434647.5350201 2018-01-20 07:50:47.535           89895a245-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89897a        7a                      221                        1                       10       87.128840608135505                   999999       97.039174000000003           1516440302.569 2018-01-20 09:25:02.569           89897a221-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89899a        9a                      245                        1                       10       87.089582370956805                   999999       94.148531000000006       1516445957.6070001 2018-01-20 10:59:17.607           89899a245-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89901a        1a                      221                        1                       10       86.705833435305095                   999999       91.332374000000002       1516451612.6489899 2018-01-20 12:33:32.649           89901a221-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89903a        3a                      245                        1                       10       86.668757640244806                   999999       89.323010999999994       1516457267.6859901 2018-01-20 14:07:47.686           89903a245-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89905a        5a                      221                        1                       10       86.282470186120506                   999999       88.461664999999996         1516462922.72802 2018-01-20 15:42:02.728           89905a221-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89907a        7a                      245                        1                       10       86.243704004192494                   999999       88.760014999999996         1516468577.76598 2018-01-20 17:16:17.766           89907a245-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89909a        9a                      220                        1                       10       85.862223935320699                   999999       89.693944000000002       1516474232.8039899 2018-01-20 18:50:32.804           89909a220-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89911a        1a                      245                        1                       10       85.820522294764601                   999999       91.159443999999993         1516479887.84602 2018-01-20 20:24:47.846           89911a245-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89913a        3a                      220                        1                       10       85.437225923729997                   999999       93.616348000000002         1516485542.88398 2018-01-20 21:59:02.884           89913a220-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89913a        3a                      222                        1                       10       85.673932450981994                   999999       94.109823000000006         1516485553.88799 2018-01-20 21:59:13.888           89913a222-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    89917a        7a                      220                        1                       10          85.016807680206                   999999       99.518782999999999       1516496852.9679999 2018-01-21 01:07:32.968           89917a220-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    90082a        2a                      249                        1                       10       73.259557385433197                   999999       94.324048000000005       1516966200.2520101 2018-01-26 11:30:00.252           90082a249-w1-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    90085a        5a                      224                        1                       10       73.232922677233603                   999999       91.327307000000005       1516971855.2970099 2018-01-26 13:04:15.297           90085a224-w1-int-1b.fits 
