\fixlen = T
\RowsRetrieved = 777
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|               in_row_id|                   in_ra|                  in_dec|  scan_id|  scangrp|               frame_num|                    band|              qual_frame|                moon_sep|                dtanneal|                 saa_sep|                   unixt|               date_obs|               fname               |
|                     int|                  double|                  double|     char|     char|                     int|                     int|                     int|                  double|                  double|                  double|                  double|                   char|               char                |
|                        |                        |                        |         |         |                        |                        |                        |                        |                        |                        |                        |                       |                                   |
|                    null|                    null|                    null|     null|     null|                    null|                    null|                    null|                    null|                    null|                    null|                    null|                   null|               null                |
                        1       76.685000000000002      -3.3594400000000002    57506a        6a                      105                        2                       10       37.241999999999997                   999999       49.460999999999999       1424746304.8299999 2015-02-24 02:51:44.831           57506a105-w2-int-1b.fits 
                        1       76.685000000000002      -3.3594400000000002    57510a        0a                      106                        2                       10       35.735999999999997                   999999       92.206000000000003       1424757658.9100001 2015-02-24 06:00:58.909           57510a106-w2-int-1b.fits 
                        1       76.685000000000002      -3.3594400000000002    57514a        4a                      105                        2                       10                    34.68                   999999       106.86799999999999            1424769001.99 2015-02-24 09:10:01.987           57514a105-w2-int-1b.fits 
                        1       76.685000000000002      -3.3594400000000002    57517a        7a                       81                        2                       10       33.645000000000003                   999999       86.191000000000003            1424774679.03 2015-02-24 10:44:39.026           57517a081-w2-int-1b.fits 
                        1       76.685000000000002      -3.3594400000000002    57518b        8b                      105                        2                       10       33.226999999999997                   999999       65.201999999999998       1424780356.0599999 2015-02-24 12:19:16.065           57518b105-w2-int-1b.fits 
                        1       76.685000000000002      -3.3594400000000002    57521a        1a                       81                        2                       10                    32.68                   999999       44.734000000000002       1424786022.0999999 2015-02-24 13:53:42.099           57521a081-w2-int-1b.fits 
                        1       76.685000000000002      -3.3594400000000002    57521a        1a                       82                        2                       10       32.210999999999999                   999999                   44.936       1424786033.0999999 2015-02-24 13:53:53.100           57521a082-w2-int-1b.fits 
                        1       76.685000000000002      -3.3594400000000002    57522a        2a                      105                        2                       10       32.268999999999998                   999999       27.606999999999999       1424791699.1300001 2015-02-24 15:28:19.130           57522a105-w2-int-1b.fits 
                        1       76.685000000000002      -3.3594400000000002    57525a        5a                       81                        2                       10       31.286000000000001                   999999                   19.206       1424797376.1700001 2015-02-24 17:02:56.169           57525a081-w2-int-1b.fits 
                        1       76.685000000000002      -3.3594400000000002    57526a        6a                      105                        2                       10       30.879999999999999                   999999                   11.253            1424803053.21 2015-02-24 18:37:33.208           57526a105-w2-int-1b.fits 
                        1       76.685000000000002      -3.3594400000000002    57529a        9a                       82                        2                        5       29.920000000000002                   999999                    1.784            1424808730.25 2015-02-24 20:12:10.247           57529a082-w2-int-1b.fits 
                        1       76.685000000000002      -3.3594400000000002    57533a        3a                       81                        2                       10       29.114000000000001                   999999                   11.214       1424820073.3199999 2015-02-24 23:21:13.325           57533a081-w2-int-1b.fits 
                        1       76.685000000000002      -3.3594400000000002    57537a        7a                       13                        2                       10       27.835999999999999                   999999       45.011000000000003       1424831427.4000001 2015-02-25 02:30:27.403           57537a013-w2-int-1b.fits 
                        1       76.685000000000002      -3.3594400000000002    57541a        1a                       81                        2                       10                   27.166                   999999       87.388000000000005            1424842770.47 2015-02-25 05:39:30.473           57541a081-w2-int-1b.fits 
                        1       76.685000000000002      -3.3594400000000002    57594a        4a                      107                        2                       10                   23.125                   999999       19.373999999999999            1424995984.22 2015-02-27 00:13:04.220           57594a107-w2-int-1b.fits 
                        1       76.685000000000002      -3.3594400000000002    57598b        8b                      108                        2                       10                   23.355                   999999                   56.747            1425007338.29 2015-02-27 03:22:18.291           57598b108-w2-int-1b.fits 
                        1       76.685000000000002      -3.3594400000000002    57602a        2a                      107                        2                       10                   24.294                   999999       98.557000000000002       1425018681.3599999 2015-02-27 06:31:21.359           57602a107-w2-int-1b.fits 
                        1       76.685000000000002      -3.3594400000000002    57605a        5a                       84                        2                       10       24.681999999999999                   999999                  117.361       1425024358.3900001 2015-02-27 08:05:58.393           57605a084-w2-int-1b.fits 
