\fixlen = T
\RowsRetrieved = 848
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|               in_row_id|                   in_ra|                  in_dec|  scan_id|  scangrp|               frame_num|                    band|              qual_frame|                moon_sep|                dtanneal|                 saa_sep|                   unixt|               date_obs|               fname               |
|                     int|                  double|                  double|     char|     char|                     int|                     int|                     int|                  double|                  double|                  double|                  double|                   char|               char                |
|                        |                        |                        |         |         |                        |                        |                        |                        |                        |                        |                        |                       |                                   |
|                    null|                    null|                    null|     null|     null|                    null|                    null|                    null|                    null|                    null|                    null|                    null|                   null|               null                |
                        1       79.953749999999999      -5.8680599999999998    02995r        5r                       93                        2                        5       28.955802993253901                   999999       36.031061999999999       1550073883.0190101 2019-02-13 16:04:43.019           02995r093-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    02999r        9r                       93                        2                       10       28.078860853293101                   999999       16.702860999999999         1550085193.09498 2019-02-13 19:13:13.095           02999r093-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03003r        3r                       92                        2                       10       27.897844932995401                   999999       2.5869870000000001         1550096492.17101 2019-02-13 22:21:32.171           03003r092-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03007r        7r                       93                        2                       10         27.1614569180209                   999999                19.310478       1550107802.2520101 2019-02-14 01:30:02.252           03007r093-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03009r        9r                        9                        2                        5       26.850046564361001                   999999       33.065696000000003       1550113413.2849801 2019-02-14 03:03:33.285           03009r009-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03011r        1r                       28                        2                       10       26.672394395391599                   999999       53.889817999999998       1550119068.3239901 2019-02-14 04:37:48.324           03011r028-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03013r        3r                       68                        2                        5       26.790833617099899                   999999       76.733401999999998           1550124756.358 2019-02-14 06:12:36.358           03013r068-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03015r        5r                       92                        2                       10       26.595364391420699                   999999       97.482151999999999       1550130411.3959999 2019-02-14 07:46:51.396           03015r092-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03017r        7r                       68                        2                       10         26.2823140296593                   999999               116.841667         1550136066.43401 2019-02-14 09:21:06.434           03017r068-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03019r        9r                       93                        2                       10       26.107035967630999                   999999               102.603666       1550141721.4760001 2019-02-14 10:55:21.476           03019r093-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03083r        3r                       94                        2                       10         37.3472497738057                   999999                72.044511       1550322572.7119901 2019-02-16 13:09:32.712           03083r094-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03087r        7r                       93                        2                       10       38.917532005618497                   999999                32.121952       1550333871.7839899 2019-02-16 16:17:51.784           03087r093-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03091r        1r                       94                        2                       10       40.045999160386501                   999999                13.326191       1550345181.8639901 2019-02-16 19:26:21.864           03091r094-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03095r        5r                       93                        2                       10       41.665212724215998                   999999     0.089383000000000004       1550356480.9359901 2019-02-16 22:34:40.936           03095r093-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03095r        5r                       94                        2                       10       41.227797127180203                   999999      0.85272400000000004           1550356491.941 2019-02-16 22:34:51.941           03095r094-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03099r        9r                       93                        2                       10       42.876150984252597                   999999                18.992977       1550367791.0169899 2019-02-17 01:43:11.017           03099r093-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03101r        1r                       63                        2                        5       43.809693425628197                   999999                36.241329         1550373446.05898 2019-02-17 03:17:26.059           03101r063-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03103r        3r                       94                        2                        5         44.1281714203622                   999999       57.111578000000002       1550379101.0929999 2019-02-17 04:51:41.093           03103r094-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03105r        5r                       70                        2                        5         45.0904630302947                   999999       78.748507000000004       1550384756.1269901 2019-02-17 06:25:56.127           03105r070-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03107r        7r                       93                        2                        5         45.8097239928383                   999999       98.613550000000004         1550390400.16099 2019-02-17 08:00:00.161           03107r093-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03109r        9r                       69                        2                       10       46.787804564462597                   999999               116.359888       1550396055.2030101 2019-02-17 09:34:15.203           03109r069-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03113r        3r                       45                        2                       10       48.127858506557097                   999999       78.018986999999996         1550407365.27999 2019-02-17 12:42:45.280           03113r045-w2-int-1b.fits 
                        1       79.953749999999999      -5.8680599999999998    03117r        7r                       69                        2                       10       49.848664580875898                   999999       37.208289999999998       1550418664.3470099 2019-02-17 15:51:04.347           03117r069-w2-int-1b.fits 
