\fixlen = T
\RowsRetrieved = 761
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|               in_row_id|                   in_ra|                  in_dec|  scan_id|  scangrp|               frame_num|                    band|              qual_frame|                moon_sep|                dtanneal|                 saa_sep|                   unixt|               date_obs|               fname               |
|                     int|                  double|                  double|     char|     char|                     int|                     int|                     int|                  double|                  double|                  double|                  double|                   char|               char                |
|                        |                        |                        |         |         |                        |                        |                        |                        |                        |                        |                        |                       |                                   |
|                    null|                    null|                    null|     null|     null|                    null|                    null|                    null|                    null|                    null|                    null|                    null|                   null|               null                |
                        1       277.46249999999998       1.2782899999999999    47489b        9b                      111                        2                       10                  104.926                   999999       98.266000000000005       1396288691.2260201 2014-03-31 17:58:11.226           47489b111-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47493b        3b                      110                        2                        5       106.40900000000001                   999999                  106.628       1396300056.2769899 2014-03-31 21:07:36.277           47493b110-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47493b        3b                      111                        2                       10                  106.502                   999999                  106.145       1396300067.2820001 2014-03-31 21:07:47.282           47493b111-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47497b        7b                      110                        2                       10       107.96899999999999                   999999       64.802999999999997       1396311432.3410101 2014-04-01 00:17:12.341           47497b110-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47497b        7b                      111                        2                        5                  108.068                   999999       64.287000000000006       1396311443.3409901 2014-04-01 00:17:23.341           47497b111-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47501b        1b                      110                        2                       10                  109.521                   999999                   31.427       1396322808.4000101 2014-04-01 03:26:48.400           47501b110-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47501b        1b                      111                        2                        5                  109.627                   999999       30.675000000000001       1396322819.3999901 2014-04-01 03:26:59.400           47501b111-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47504a        4a                       86                        2                       10       110.68899999999999                   999999                   24.125       1396328496.4260001 2014-04-01 05:01:36.426           47504a086-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47504a        4a                       87                        2                       10                  110.801                   999999       23.361999999999998       1396328507.4300101 2014-04-01 05:01:47.430           47504a087-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47505b        5b                      110                        2                       10                  111.065                   999999       15.316000000000001       1396334184.4590001 2014-04-01 06:36:24.459           47505b110-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47505b        5b                      111                        2                        5                  111.179                   999999       14.569000000000001       1396334195.4589801 2014-04-01 06:36:35.459           47505b111-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47508a        8a                       86                        2                        5                  112.227                   999999       8.0030000000000001       1396339872.4889801 2014-04-01 08:11:12.489           47508a086-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47508a        8a                       87                        2                        5                  112.346                   999999       7.2560000000000002       1396339883.4890001 2014-04-01 08:11:23.489           47508a087-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47509b        9b                      110                        2                        5                  112.601                   999999       9.0399999999999991       1396345560.5190001 2014-04-01 09:46:00.519           47509b110-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47509b        9b                      111                        2                        5       112.72199999999999                   999999       8.3360000000000003         1396345571.51898 2014-04-01 09:46:11.519           47509b111-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47512a        2a                       15                        2                        5       113.75700000000001                   999999       19.184999999999999       1396351248.5480199 2014-04-01 11:20:48.548           47512a015-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47512a        2a                       16                        2                       10                  113.884                   999999                    18.68       1396351259.5480001 2014-04-01 11:20:59.548           47512a016-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47513b        3b                      110                        2                       10                  114.126                   999999       33.606999999999999       1396356936.5699899 2014-04-01 12:55:36.570           47513b110-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47513b        3b                      111                        2                       10                  114.254                   999999       33.140000000000001       1396356947.5739999 2014-04-01 12:55:47.574           47513b111-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47516a        6a                       86                        2                       10       115.27800000000001                   999999       51.985999999999997         1396362624.59499 2014-04-01 14:30:24.595           47516a086-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47516a        6a                       87                        2                        5                  115.413                   999999       51.723999999999997         1396362635.59899 2014-04-01 14:30:35.599           47516a087-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47520a        0a                       86                        2                       10       116.79000000000001                   999999       94.593000000000004         1396374000.65398 2014-04-01 17:40:00.654           47520a086-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47520a        0a                       87                        2                        5       116.93300000000001                   999999       94.346000000000004       1396374011.6589899 2014-04-01 17:40:11.659           47520a087-w2-int-1b.fits 
                        1       277.46249999999998       1.2782899999999999    47524a        4a                       86                        2                        5       118.29300000000001                   999999                  110.571         1396385376.71398 2014-04-01 20:49:36.714           47524a086-w2-int-1b.fits 
