\fixlen = T
\RowsRetrieved = 813
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|               in_row_id|                   in_ra|                  in_dec|  scan_id|  scangrp|               frame_num|                    band|              qual_frame|                moon_sep|                dtanneal|                 saa_sep|                   unixt|               date_obs|               fname               |
|                     int|                  double|                  double|     char|     char|                     int|                     int|                     int|                  double|                  double|                  double|                  double|                   char|               char                |
|                        |                        |                        |         |         |                        |                        |                        |                        |                        |                        |                        |                       |                                   |
|                    null|                    null|                    null|     null|     null|                    null|                    null|                    null|                    null|                    null|                    null|                    null|                   null|               null                |
                        1       277.28782999999999      0.52514000000000005    09275r        5r                      176                        2                        5         25.3556641004099                   999999       30.256769999999999         1567822091.94701 2019-09-07 02:08:11.947           09275r176-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09279r        9r                      176                        2                        5       25.146768668893898                   999999       66.818772999999993       1567833401.9819901 2019-09-07 05:16:41.982           09279r176-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09283r        3r                      176                        2                        5         24.4018589379613                   999999               108.958669       1567844701.0699999 2019-09-07 08:25:01.070           09283r176-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09285r        5r                      152                        2                        5       24.213305589429002                   999999               118.704104       1567850356.0880101 2019-09-07 09:59:16.088           09285r152-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09287r        7r                       90                        2                       10       24.217838881231099                   999999                97.148432       1567855967.1009901 2019-09-07 11:32:47.101           09287r090-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09289r        9r                       93                        2                        5       23.458035773563498                   999999       76.080830000000006         1567861611.11902 2019-09-07 13:06:51.119           09289r093-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09289r        9r                       94                        2                        5       24.133091592765101                   999999                76.308515           1567861622.119 2019-09-07 13:07:02.119           09289r094-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09291r        1r                      176                        2                       10       23.800580899713701                   999999       57.049587000000002       1567867310.1410201 2019-09-07 14:41:50.141           09291r176-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09293r        3r                      152                        2                        5         23.7526619851321                   999999       39.881073000000001           1567872965.154 2019-09-07 16:16:05.154           09293r152-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09295r        5r                      175                        2                        5       23.292623069367799                   999999       29.612732000000001       1567878609.1760099 2019-09-07 17:50:09.176           09295r175-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09295r        5r                      176                        2                        5         23.9820533562538                   999999       30.290534000000001       1567878620.1759901 2019-09-07 17:50:20.176           09295r176-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09367r        7r                      176                        2                       10       35.027554376304401                   999999       30.032070000000001       1568082035.8080001 2019-09-10 02:20:35.808           09367r176-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09371r        1r                      177                        2                       10       36.366554986529202                   999999                 68.26473         1568093345.89201 2019-09-10 05:29:05.892           09371r177-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09375r        5r                      176                        2                        5       37.264153164372402                   999999       110.11330100000001           1568104644.927 2019-09-10 08:37:24.927           09375r176-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09377r        7r                      153                        2                        5       38.259237439349597                   999999       115.13129499999999       1568110299.9489999 2019-09-10 10:11:39.949           09377r153-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09379r        9r                      177                        2                        5       38.635564871852303                   999999       94.381558999999996         1568115954.96298 2019-09-10 11:45:54.963           09379r177-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09381r        1r                       92                        2                        5       39.204418554698599                   999999       73.359764999999996         1568121598.98399 2019-09-10 13:19:58.984           09381r092-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09383r        3r                      177                        2                        5       39.571942848794698                   999999       53.420270000000002       1568127254.0020001 2019-09-10 14:54:14.002           09383r177-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09385r        5r                      153                        2                        5       40.591358834301403                   999999       36.324049000000002       1568132909.0150199 2019-09-10 16:28:29.015           09385r153-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09387r        7r                      176                        2                        5       40.543791311661202                   999999       26.526479999999999         1568138553.03301 2019-09-10 18:02:33.033           09387r176-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09387r        7r                      177                        2                        5       40.958370630379598                   999999                27.204411         1568138564.03299 2019-09-10 18:02:44.033           09387r177-w2-int-1b.fits 
                        1       277.28782999999999      0.52514000000000005    09397r        7r                      153                        2                        5       43.984311094146797                   999999       26.171932999999999       1568166817.1289899 2019-09-11 01:53:37.129           09397r153-w2-int-1b.fits 
