\fixlen = T
\RowsRetrieved = 1857
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|               in_row_id|                   in_ra|                  in_dec|  scan_id|  scangrp|               frame_num|                    band|              qual_frame|                moon_sep|                dtanneal|                 saa_sep|                   unixt|               date_obs|               fname               |
|                     int|                  double|                  double|     char|     char|                     int|                     int|                     int|                  double|                  double|                  double|                  double|                   char|               char                |
|                        |                        |                        |         |         |                        |                        |                        |                        |                        |                        |                        |                       |                                   |
|                    null|                    null|                    null|     null|     null|                    null|                    null|                    null|                    null|                    null|                    null|                    null|                   null|               null                |
                        1       339.72054000000003       75.189589999999995    67838a        8a                      252                        2                       10       105.58199999999999                   999999       98.968999999999994       1454030466.1500001 2016-01-29 01:21:06.150           67838a252-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67846a        6a                      251                        2                       10                  106.239                   999999                  102.577       1454053119.3299999 2016-01-29 07:38:39.331           67846a251-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67846a        6a                      253                        2                       10                  105.747                   999999       101.82599999999999       1454053130.3399999 2016-01-29 07:38:50.336           67846a253-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67849a        9a                      228                        2                       10                   106.39                   999999       99.540999999999997       1454058785.3800001 2016-01-29 09:13:05.381           67849a228-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67850a        0a                      252                        2                       10       106.30500000000001                   999999       95.718000000000004       1454064451.4300001 2016-01-29 10:47:31.431           67850a252-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67853a        3a                      228                        2                       10                  106.444                   999999       92.209999999999994            1454070117.48 2016-01-29 12:21:57.476           67853a228-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67854a        4a                      252                        2                       10                  106.355                   999999       89.296999999999997            1454075783.53 2016-01-29 13:56:23.526           67854a252-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67857a        7a                      227                        2                       10                  107.003                   999999       87.516000000000005       1454081438.5699999 2016-01-29 15:30:38.571           67857a227-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67857a        7a                      228                        2                       10                  106.479                   999999       87.640000000000001       1454081449.5799999 2016-01-29 15:30:49.575           67857a228-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67858a        8a                      252                        2                       10                  106.913                   999999       87.064999999999998       1454087104.6199999 2016-01-29 17:05:04.621           67858a252-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67861a        1a                      228                        2                       10       107.03400000000001                   999999       88.042000000000002       1454092770.6700001 2016-01-29 18:39:30.670           67861a228-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67862a        2a                      252                        2                       10       106.93300000000001                   999999       89.162000000000006            1454098436.72 2016-01-29 20:13:56.720           67862a252-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67865a        5a                      228                        2                       10                  107.045                   999999       91.680000000000007            1454104102.77 2016-01-29 21:48:22.774           67865a228-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67866a        6a                      252                        2                       10                  106.941                   999999       94.858999999999995       1454109768.8199999 2016-01-29 23:22:48.823           67866a252-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67869a        9a                      227                        2                       10                  107.596                   999999                   97.994       1454115423.8699999 2016-01-30 00:57:03.869           67869a227-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67869a        9a                      229                        2                       10                  107.039                   999999       98.599000000000004       1454115434.8699999 2016-01-30 00:57:14.873           67869a229-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67873a        3a                      228                        2                       10       107.58499999999999                   999999                   104.22            1454126755.96 2016-01-30 04:05:55.964           67873a228-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67874a        4a                      252                        2                       10                  107.474                   999999                  104.264            1454132422.01 2016-01-30 05:40:22.013           67874a252-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67877a        7a                      228                        2                       10                  107.551                   999999                  102.524       1454138088.0599999 2016-01-30 07:14:48.063           67877a228-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67878a        8a                      251                        2                       10       108.01900000000001                   999999                  100.199       1454143743.1099999 2016-01-30 08:49:03.112           67878a251-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67878a        8a                      252                        2                       10                  107.441                   999999       99.430999999999997       1454143754.1099999 2016-01-30 08:49:14.112           67878a252-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67881a        1a                      228                        2                       10                  108.089                   999999       96.700999999999993       1454149409.1600001 2016-01-30 10:23:29.162           67881a228-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67885a        5a                      228                        2                       10       108.03700000000001                   999999       89.930000000000007            1454160741.26 2016-01-30 13:32:21.261           67885a228-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67886a        6a                      252                        2                        5                  107.922                   999999       87.965999999999994       1454166407.3099999 2016-01-30 15:06:47.307           67886a252-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67889a        9a                      228                        2                       10       107.96599999999999                   999999       87.411000000000001       1454172073.3599999 2016-01-30 16:41:13.360           67889a228-w2-int-1b.fits 
                        1       339.72054000000003       75.189589999999995    67893a        3a                      228                        2                        5                  108.492                   999999       88.942999999999998            1454183394.45 2016-01-30 19:49:54.451           67893a228-w2-int-1b.fits 
