\fixlen = T
\RowsRetrieved = 774
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|               in_row_id|                   in_ra|                  in_dec|  scan_id|  scangrp|               frame_num|                    band|              qual_frame|                moon_sep|                dtanneal|                 saa_sep|                   unixt|               date_obs|               fname               |
|                     int|                  double|                  double|     char|     char|                     int|                     int|                     int|                  double|                  double|                  double|                  double|                   char|               char                |
|                        |                        |                        |         |         |                        |                        |                        |                        |                        |                        |                        |                       |                                   |
|                    null|                    null|                    null|     null|     null|                    null|                    null|                    null|                    null|                    null|                    null|                    null|                   null|               null                |
                        1       274.39582999999999      -4.6633300000000002    37686r        6r                      109                        2                        5         29.8652293365489                   999999       87.705117999999999       1648061765.8239901 2022-03-23 18:56:05.824           37686r109-w2-int-1b.fits 
                        1       274.39582999999999      -4.6633300000000002    37690r        0r                      110                        2                        5         28.6073123907622                   999999       113.95697699999999         1648073053.88801 2022-03-23 22:04:13.888           37690r110-w2-int-1b.fits 
                        1       274.39582999999999      -4.6633300000000002    37692r        2r                       85                        2                        5       27.701528639849599                   999999       93.273855999999995         1648078697.96699 2022-03-23 23:38:17.967           37692r085-w2-int-1b.fits 
                        1       274.39582999999999      -4.6633300000000002    37694r        4r                      110                        2                        5       27.382221250521201                   999999                72.276961       1648084341.9920199 2022-03-24 01:12:21.992           37694r110-w2-int-1b.fits 
                        1       274.39582999999999      -4.6633300000000002    37696r        6r                       84                        2                        5       27.064953447434601                   999999       52.146884999999997       1648089975.0220201 2022-03-24 02:46:15.022           37696r084-w2-int-1b.fits 
                        1       274.39582999999999      -4.6633300000000002    37696r        6r                       86                        2                        5         26.5162757667797                   999999       51.611153000000002         1648089986.02598 2022-03-24 02:46:26.026           37696r086-w2-int-1b.fits 
                        1       274.39582999999999      -4.6633300000000002    37698r        8r                      109                        2                        5       26.760594655121501                   999999                34.011944         1648095619.05199 2022-03-24 04:20:19.052           37698r109-w2-int-1b.fits 
                        1       274.39582999999999      -4.6633300000000002    37700r        0r                       85                        2                        5       25.954700154782099                   999999       23.580843000000002         1648101263.08201 2022-03-24 05:54:23.082           37700r085-w2-int-1b.fits 
                        1       274.39582999999999      -4.6633300000000002    37702r        2r                      110                        2                        5       25.663408493179301                   999999       16.202870000000001         1648106907.11098 2022-03-24 07:28:27.111           37702r110-w2-int-1b.fits 
